surface	result	count	source	certainty	note
daß	dass	2196	hegel1	sure	
seyn	sein	802	hegel1+cab	sure	
Seyn	Sein	785	hegel1+cab	sure	
diß	dies	725	manual	sure	
Daseyn	Dasein	435	hegel1+cab	sure	
Verhältniß	Verhältnis	425	hegel1+cab	sure	
sey	sei	417	hegel1+cab	sure	
Gesetztseyn	Gesetztsein	333	hegel1+cab	sure	
nemlich	nämlich	317	hegel1+cab	sure	
bey	bei	289	hegel1+cab	sure	
äusserliche	äußerliche	287	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Aeusserlichkeit	Äußerlichkeit	271	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
beyden	beiden	248	hegel1+cab	sure	
Seyns	Seins	248	hegel1+cab	sure	
Subject	Subjekt	232	hegel1+cab	sure	
Urtheil	Urteil	226	hegel1+cab	sure	
Diß	Dies	220	manual	sure	
abstracte	abstrakte	218	hegel1+cab	sure	
muß	muss	215	hegel1	sure	
Objectivität	Objektivität	197	hegel1+cab	sure	
äusserlich	äußerlich	193	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Nothwendigkeit	Notwendigkeit	183	hegel1+cab	sure	
hiemit	hiermit	172	hegel1+cab	sure	
Prädicat	Prädikat	167	hegel1+cab	sure	
ausser	außer	162	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
zwey	zwei	158	hegel1+cab	sure	
Schluß	Schluss	158	hegel1	sure	
Object	Objekt	153	hegel1+cab	sure	
seyende	seiende	152	hegel1+cab	sure	
Ansichseyn	Ansichsein	151	hegel1+cab	sure	
äusserlichen	äußerlichen	140	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Bewußtseyn	Bewusstsein	131	hegel1	sure	
theils	teils	128	hegel1+cab	sure	
reflectirte	reflektierte	128	hegel1+cab	sure	
Daseyns	Daseins	127	hegel1+cab	sure	
That	Tat	124	hegel1+cab	sure	
Princip	Prinzip	123	hegel1+cab	sure	
beyde	beide	121	hegel1+cab	sure	
Andersseyn	Anderssein	120	hegel1+cab	sure	
Abstraction	Abstraktion	117	hegel1+cab	sure	
abstracten	abstrakten	113	hegel1+cab	sure	
Nichtseyn	Nichtsein	112	hegel1+cab	sure	
objective	objektive	111	cab	cab	
Urtheils	Urteils	109	hegel1+cab	sure	
Fürsichseyn	Fürsichsein	107	hegel1+cab	sure	
Function	Funktion	105	cab	cab	
Thätigkeit	Tätigkeit	104	hegel1+cab	sure	
Objecte	Objekte	100	cab	cab	
beyder	beider	99	hegel1+cab	sure	
Theile	Teile	98	hegel1+cab	sure	
Continuität	Kontinuität	95	hegel1+cab	sure	
subjective	subjektive	93	cab	cab	
zweytens	zweitens	88	hegel1+cab	sure	
Uebergang	Übergang	88	hegel1+cab	sure	
Uebergehen	Übergehen	88	hegel1+cab	sure	
Urtheile	Urteile	88	hegel1+cab	sure	
äusserliches	äußerliches	87	hegel1	sure	ß beibehalten (Langvokal angenommen)
Maaß	Maß	85	cab	cab	ß beibehalten (Langvokal angenommen)
läßt	lässt	84	hegel1	sure	
Gegentheil	Gegenteil	83	hegel1+cab	sure	
Grösse	Größe	83	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
zweyte	zweite	76	hegel1+cab	sure	
äussere	äußere	75	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Theil	Teil	75	hegel1+cab	sure	
Mannichfaltigkeit	Mannigfaltigkeit	75	hegel1+cab	sure	
seyen	seien	73	hegel1+cab	sure	
concreten	konkreten	72	hegel1+cab	sure	
subjectiven	subjektiven	72	cab	cab	
Subjects	Subjekts	72	hegel1+cab	sure	
concrete	konkrete	72	hegel1+cab	sure	
objectiven	objektiven	71	cab	cab	
reflectirt	reflektiert	69	hegel1+cab	sure	
äussern	äußern	64	hegel1	sure	ß beibehalten (Langvokal angenommen)
Causalität	Kausalität	64	cab	cab	
Erkenntniß	Erkenntnis	63	hegel1+cab	sure	
dabey	dabei	62	hegel1+cab	sure	
thun	tun	61	hegel1+cab	sure	
Thun	Tun	61	hegel1+cab	sure	
Werth	Wert	61	hegel1+cab	sure	
blosse	bloße	60	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
abstract	abstrakt	59	hegel1+cab	sure	
Subjectivität	Subjektivität	58	hegel1+cab	sure	
nothwendig	notwendig	57	hegel1+cab	sure	
Daß	Dass	56	hegel1	sure	
Objects	Objekts	54	hegel1+cab	sure	
Attraction	Attraktion	54	hegel1+cab	sure	
Freyheit	Freiheit	53	hegel1+cab	sure	
Theilen	Teilen	53	hegel1+cab	sure	
zweyten	zweiten	51	hegel1+cab	sure	
gefaßt	gefasst	51	hegel1	sure	
vornemlich	vornehmlich	49	hegel1+cab	sure	
